 
00:00:00     device    %busy    avque    r+w/s    Kbs/s   avwait   avserv
00:10:00            hdisk614     13      0.0        5      104      0.0     85.8
00:10:00            hdisk622     25      0.0       57     1146     31.1     96.5
00:10:00            hdisk620     25      0.0       56     1139     31.4     97.1
00:10:00            hdisk624     25      0.0       58     1178     31.2     95.7
00:10:00            hdisk617     13      0.0        5      110      0.0     90.1
00:10:00            hdisk627      0      0.0        0        0      0.0      4.0
00:10:00            hdisk628      0      0.0        0        0      0.0      0.0
00:10:00            hdisk629      0      0.0        0        0      0.0      0.0
00:10:00            hdisk639      0      0.0        0       23      0.0     18.7
00:10:00            hdisk635     37      0.0       20     9628      0.4    186.0
00:10:00            hdisk625     25      0.0       58     1155     31.4     95.9
00:10:00            hdisk630      0      0.0        0        0      0.0      0.0
00:10:00            hdisk632      0      0.0        0        0      0.0      0.0
00:10:00            hdisk636     36      0.0       20     9688      0.3    189.5
00:10:00            hdisk640      0      0.0        0       14      0.0     16.8
00:10:00           hdisk1066      0      0.0        0        0      0.0      0.0
00:10:00            hdisk631      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1064      0      0.0        0        0      0.0      0.0
00:10:00            hdisk638     36      0.0       20     9676      0.3    191.7
00:10:00            hdisk633      0      0.0        0        0      0.0      0.0
00:10:00            hdisk637     36      0.0       20     9656      0.2    187.8
00:10:00            hdisk634      0      0.0        0        0      0.0      0.0
00:10:00            hdisk541      0      0.0        0       14      0.0      2.8
00:10:00           hdisk1067      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1065      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1069      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1071      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1108      0      0.0        0        8      0.0      1.3
00:10:00           hdisk1068      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1100      0      0.0        0        0      0.0      2.4
00:10:00            hdisk387      1      0.0        3      212      0.0      9.3
00:10:00           hdisk1070      0      0.0        0        0      0.0      0.0
00:10:00            hdisk391     21      0.0       18      603      0.0     65.1
00:10:00            hdisk389     21      0.0       17      491      0.1     62.8
00:10:00            hdisk388     21      0.0       19      650      0.0     62.5
00:10:00            hdisk641      0      0.0        0       17      0.0      8.7
00:10:00            hdisk390     21      0.0       18      570      0.1     67.4
00:10:00            hdisk398     21      0.0       18      624      0.1     64.4
00:10:00            hdisk397     21      0.0       18      614      0.0     64.7
00:10:00            hdisk399     21      0.0       18      504      0.0     63.6
00:10:00            hdisk402     21      0.0       18      522      0.1     66.5
00:10:00            hdisk406     21      0.0       18      510      0.1     65.5
00:10:00            hdisk403     21      0.0       18      589      0.0     66.2
00:10:00            hdisk396     21      0.0       18      548      0.0     62.4
00:10:00            hdisk401     21      0.0       19      567      0.1     64.9
00:10:00            hdisk393     21      0.0       18      561      0.0     67.5
00:10:00            hdisk392     21      0.0       18      505      0.2     66.5
00:10:00            hdisk405     21      0.0       18      581      0.1     64.5
00:10:00            hdisk395     21      0.0       18      563      0.1     65.7
00:10:00            hdisk394     21      0.0       18      612      0.0     63.9
00:10:00            hdisk404     21      0.0       17      531      0.0     62.9
00:10:00            hdisk409     21      0.0       18      538      0.2     68.0
00:10:00            hdisk411     21      0.0       18      562      0.1     65.6
00:10:00            hdisk407     21      0.0       18      539      0.1     64.6
00:10:00            hdisk400     21      0.0       18      549      0.3     64.0
00:10:00            hdisk408     21      0.0       18      501      0.0     64.6
00:10:00            hdisk415     21      0.0       18      535      0.1     67.0
00:10:00            hdisk419     21      0.0       18      499      0.1     65.9
00:10:00            hdisk417     21      0.0       18      651      0.1     66.2
00:10:00            hdisk414     21      0.0       18      498      0.1     66.3
00:10:00            hdisk413     21      0.0       17      549      0.0     63.9
00:10:00            hdisk410     21      0.0       18      545      0.0     69.3
00:10:00            hdisk416     22      0.0       18      664      0.0     65.3
00:10:00            hdisk424     21      0.0       18      607      0.1     66.4
00:10:00            hdisk418     21      0.0       18      558      0.0     63.6
00:10:00            hdisk422     21      0.0       18      533      0.2     67.6
00:10:00            hdisk425     21      0.0       18      511      0.0     68.3
00:10:00            hdisk426     21      0.0       18      538      0.1     65.0
00:10:00            hdisk421     21      0.0       18      514      0.1     63.8
00:10:00            hdisk428     21      0.0       19      619      0.1     68.2
00:10:00            hdisk423     21      0.0       18      517      0.1     65.8
00:10:00            hdisk430     21      0.0       18      553      0.1     67.0
00:10:00            hdisk427     21      0.0       18      543      0.0     66.7
00:10:00            hdisk429     21      0.0       18      572      0.0     67.3
00:10:00            hdisk433     21      0.0       18      543      0.0     67.6
00:10:00            hdisk420     21      0.0       18      602      0.0     62.9
00:10:00            hdisk441      0      0.0        0        0      0.0      0.0
00:10:00            hdisk431     21      0.0       18      583      0.1     70.9
00:10:00            hdisk439      0      0.0        0        0      0.0      0.0
00:10:00            hdisk440      0      0.0        0        0      0.0      0.0
00:10:00            hdisk432     21      0.0       18      471      0.0     66.5
00:10:00            hdisk438      0      0.0        0        0      0.0      0.0
00:10:00            hdisk442     25      0.0       57     1152     31.5     95.9
00:10:00            hdisk437     21      0.0       18      570      0.0     65.8
00:10:00            hdisk444     25      0.0       57     1158     32.0     96.5
00:10:00            hdisk447     13      0.0        5      108      0.0     81.5
00:10:00            hdisk446     12      0.0        5      104      0.0     80.2
00:10:00            hdisk445     25      0.0       57     1144     31.8     96.9
00:10:00            hdisk434     21      0.0       18      623      0.1     68.4
00:10:00            hdisk448     13      0.0        5      104      0.0     79.8
00:10:00            hdisk436     21      0.0       17      549      0.0     65.4
00:10:00            hdisk449     13      0.0        5      103      0.0     80.4
00:10:00            hdisk443     25      0.0       57     1160     31.1     95.4
00:10:00            hdisk451     13      0.0        5      101      0.0     79.1
00:10:00            hdisk435     21      0.0       18      720      0.0     62.7
00:10:00            hdisk450     13      0.0        5      106      0.0     78.5
00:10:00            hdisk452     13      0.0        5      104      0.0     84.6
00:10:00            hdisk454     13      0.0        5      108      0.0     80.8
00:10:00            hdisk453     13      0.0        5      107      0.0     77.7
00:10:00            hdisk458     13      0.0        5      112      0.0     77.9
00:10:00            hdisk461     13      0.0        5      106      0.0     90.1
00:10:00            hdisk459     13      0.0        5      104      0.0     90.3
00:10:00            hdisk465     13      0.0        5      107      0.0     82.9
00:10:00            hdisk455     13      0.0        5      105      0.0     79.5
00:10:00            hdisk462     13      0.0        5      102      0.0     85.6
00:10:00            hdisk460     12      0.0        4       97      0.0     83.4
00:10:00            hdisk463     13      0.0        5      102      0.0     79.3
00:10:00            hdisk457     12      0.0        5      108      0.0     74.7
00:10:00            hdisk456     13      0.0        5      106      0.0     80.0
00:10:00            hdisk464     13      0.0        5      112      0.0     84.7
00:10:00            hdisk466     13      0.0        5      109      0.0     80.9
00:10:00            hdisk467     13      0.0        5      105      0.0     80.4
00:10:00            hdisk471     13      0.0        5      109      0.0     87.0
00:10:00            hdisk470     13      0.0        5      111      0.0     81.9
00:10:00            hdisk468     13      0.0        5      110      0.0     82.6
00:10:00            hdisk469     13      0.0        5      109      0.0     82.4
00:10:00            hdisk473     13      0.0        5      109      0.0     87.9
00:10:00            hdisk478     13      0.0        5      106      0.0     88.3
00:10:00            hdisk477     13      0.0        5       99      0.0     86.3
00:10:00            hdisk482     13      0.0        5      111      0.0     80.3
00:10:00            hdisk475     13      0.0        5      113      0.0     83.0
00:10:00            hdisk479     13      0.0        5      104      0.0     83.3
00:10:00            hdisk485     13      0.0        5      107      0.0     83.7
00:10:00            hdisk474     13      0.0        5      102      0.0     88.8
00:10:00            hdisk483     13      0.0        5      106      0.0     86.6
00:10:00            hdisk472     13      0.0        5      107      0.0     86.8
00:10:00            hdisk481     13      0.0        5      108      0.0     83.9
00:10:00            hdisk480     13      0.0        5      107      0.0     85.1
00:10:00            hdisk476     13      0.0        5      109      0.0     86.7
00:10:00            hdisk489     13      0.0        5      105      0.0     82.8
00:10:00            hdisk491     25      0.0       57     1156     31.3     96.5
00:10:00            hdisk486     13      0.0        5      104      0.0     90.5
00:10:00            hdisk490     25      0.0       57     1147     31.2     96.9
00:10:00            hdisk488     13      0.0        5      102      0.0     88.8
00:10:00            hdisk497     25      0.0       57     1158     30.7     95.7
00:10:00            hdisk487     13      0.0        5      109      0.0     81.4
00:10:00            hdisk498      0      0.0        0        0      0.0      1.6
00:10:00            hdisk484     13      0.0        5      107      0.0     93.4
00:10:00            hdisk493     25      0.0       57     1149     31.4     96.6
00:10:00            hdisk495     25      0.0       57     1158     31.5     97.0
00:10:00            hdisk492     25      0.0       57     1161     31.3     96.3
00:10:00            hdisk496     25      0.0       57     1151     30.8     95.7
00:10:00            hdisk494     25      0.0       58     1166     30.6     95.2
00:10:00            hdisk499      0      0.0        0        0      0.0      0.0
00:10:00            hdisk501      0      0.0        0        0      0.0      0.0
00:10:00            hdisk511      0      0.0        0       12      0.0     21.1
00:10:00            hdisk500      0      0.0        0        0      0.0      0.0
00:10:00            hdisk503      0      0.0        0        0      0.0      0.0
00:10:00            hdisk502      0      0.0        0        0      0.0      0.0
00:10:00            hdisk504      0      0.0        0        0      0.0      0.0
00:10:00            hdisk506     37      0.0       20     9672      0.2    186.8
00:10:00            hdisk507     36      0.0       20     9496      0.2    189.0
00:10:00            hdisk505      0      0.0        0        0      0.0      0.0
00:10:00            hdisk508     36      0.0       20     9693      0.3    188.5
00:10:00           hdisk1059      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1061      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1058      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1056      0      0.0        0        0      0.0      0.0
00:10:00            hdisk510      0      0.0        0        9      0.0     20.7
00:10:00           hdisk1057      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1060      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1062      0      0.0        0        0      0.0      0.0
00:10:00            hdisk509     36      0.0       20     9698      0.2    190.7
00:10:00           hdisk1063      0      0.0        0        0      0.0      0.0
00:10:00              hdisk1     21      0.0       18      611      0.0     57.8
00:10:00              hdisk0      1      0.0        3      218      0.0      9.3
00:10:00           hdisk1099      0      0.0        0        0      0.0      0.2
00:10:00            hdisk412      0      0.0        0       10      0.0      3.5
00:10:00              hdisk3     21      0.0       18      588      0.0     62.2
00:10:00           hdisk1107      0      0.0        0        8      0.0      2.6
00:10:00              hdisk2     20      0.0       18      506      0.0     58.4
00:10:00            hdisk512      0      0.0        0       17      0.0      5.8
